zinc_id,smiles,pChEMBL Value,dock_affinity(kcal/mol)
ZINC000006229828,O=C1Cc2cc3c(cc2N1)=NC(=O)C=3c1c(O)[nH]c2ccccc12,7.754521369934082,-9.6
ZINC000051026713,C(=C\NNc1nc2ccccc2[nH]1)\NN=C1N=c2ccccc2=N1,8.189312934875488,-8.9
ZINC000034517735,Nc1c(-c2ccccc2)nc(N2C=NNN2)c2c1C(=O)N=NC2=O,7.737162590026855,-8.8
ZINC000034019690,NS(=O)(=O)c1ccc2c(c1)/C(=C1\C=c3ccccc3=N1)NN2,8.231193542480469,-8.6
ZINC000034041319,NS(=O)(=O)c1ccc2c(c1)NN/C2=C1/C=c2ccccc2=N1,8.158153533935547,-8.4
ZINC000049436021,N#C[C@@H](C(=O)Cc1ccc2c(c1)CCC2)c1nc(N)nc(N)n1,7.724362373352051,-8.4
ZINC000001571412,Cc1cc2c(c3ccccc13)/C(=N/NC(=N)N)C(NNC(=N)N)=C2,8.576921463012695,-8.3
ZINC000048648328,Cc1noc2ncc(/C(O)=N/S(=O)(=O)c3cnn(C)c3)cc12,7.798574447631836,-8.2
ZINC000034004809,N=C1NN=C(NC(=O)NCc2ccncc2)/C1=C1/C=CSN1,8.481629371643066,-8.1
ZINC000038482733,O=C(NCc1cccnc1)c1cc(-c2c[nH]ccc2=O)nnc1O,7.877810478210449,-8.0
ZINC000030113633,N#Cc1nc(NC(=O)[C@H]2CCCN(c3cnccn3)C2)[nH]c1C#N,7.79325532913208,-8.0
ZINC000001725044,C/C(Oc1ccc(Cl)cc1)=C(\C=N\NC(=N)N)NNC(=N)N,8.039077758789062,-8.0
ZINC000054427324,Cc1cc(/C(O)=N/S(=O)(=O)c2ccc3c(c2)CC(=O)N3)[nH]n1,7.7830281257629395,-8.0
ZINC000001921090,O=C(CSc1nc2ccccc2[nH]1)Nc1cc(=O)[nH]c(=O)[nH]1,7.893669128417969,-8.0
ZINC000052470517,O=C(Nc1cnccn1)C1CCN(c2ncnc3[nH]cnc23)CC1,7.7358856201171875,-8.0
ZINC000035010083,O=C1c2ccccc2C(=O)N1C/C=C/Cn1ccc(=O)[nH]c1=O,7.760980129241943,-7.9
ZINC000048551882,O=C1Cc2cc(S(=O)(=O)/N=C(\O)c3ccn[nH]3)ccc2N1,7.768222808837891,-7.9
ZINC000049434742,N#C[C@@H](C(=O)Cc1c[nH]c2ccccc12)c1nc(N)nc(N)n1,7.987356662750244,-7.9
ZINC000049436020,N#C[C@H](C(=O)Cc1ccc2c(c1)CCC2)c1nc(N)nc(N)n1,7.724361896514893,-7.9
ZINC000049436866,N#C[C@H](C(=O)c1cc(=O)c2ccccc2o1)c1nc(N)nc(N)n1,8.519457817077637,-7.9
ZINC000049434740,N#C[C@H](C(=O)Cc1c[nH]c2ccccc12)c1nc(N)nc(N)n1,7.987356662750244,-7.8
ZINC000034052434,Cc1[nH]cnc1/C=C1\C(=O)Nc2ncnc(N3CCOCC3)c21,8.142128944396973,-7.8
ZINC000035029620,Cc1ccc(-n2cc(C(=O)NN)c(C(=O)NN)n2)cc1Cl,8.600988388061523,-7.8
ZINC000046902120,Cc1nc2c(C#N)cnn2c(O)c1CC(=O)Nc1ncccc1O,8.785237312316895,-7.8
ZINC000049436867,N#C[C@@H](C(=O)c1cc(=O)c2ccccc2o1)c1nc(N)nc(N)n1,8.519457817077637,-7.8
ZINC000049436560,Cc1cc(C(=O)[C@H](C#N)c2nc(N)nc(N)n2)c2c(C)noc2n1,8.328192710876465,-7.8
ZINC000054273196,Cn1cc(/C(N)=N/OCC(=O)Nc2cc(F)cc(F)c2)cn1,8.317312240600586,-7.7
ZINC000042342657,Cn1cc(/C(O)=N/S(=O)(=O)c2ccc3c(c2)CC(=O)N3)cn1,7.785331726074219,-7.6
ZINC000026266815,N#Cc1nc(NC(=O)Cc2ccc(NC(N)=O)cc2)[nH]c1C#N,7.7790679931640625,-7.6
ZINC000040769357,C[C@@H](O)CNC(=O)c1cc(NC(=O)Cc2ccccc2)n(C)n1,7.891804218292236,-7.6
ZINC000049436739,Cc1noc2ncc(C(=O)[C@H](C#N)c3nc(N)nc(N)n3)cc12,7.790689945220947,-7.6
ZINC000040769355,C[C@H](O)CNC(=O)c1cc(NC(=O)Cc2ccccc2)n(C)n1,7.891804218292236,-7.5
ZINC000049436559,Cc1cc(C(=O)[C@@H](C#N)c2nc(N)nc(N)n2)c2c(C)noc2n1,8.328192710876465,-7.5
ZINC000049436738,Cc1noc2ncc(C(=O)[C@@H](C#N)c3nc(N)nc(N)n3)cc12,7.790689945220947,-7.5
ZINC000043719810,C[C@H](O)CNC(=O)Nc1nc(-c2c[nH]c(C(N)=O)c2)cs1,7.989398956298828,-7.5
ZINC000049388530,CN(C)c1nc(N)nc([C@H](C#N)C(=O)c2cc(C3CC3)[nH]n2)n1,7.974524974822998,-7.4
